FullyPaid, IntRate ,Installment,logannual.inc,FICO,RevBal,Purpose,,
Yes, 0.12 ,829.1,11.35040654,737,28854,debt_consolidation,,
Yes, 0.11 ,228.22,11.08214255,707,33623,credit_card,,
Yes, 0.14 ,366.86,10.37349118,682,3511,debt_consolidation,,
Yes, 0.10 ,162.34,11.35040654,712,33667,debt_consolidation,,
Yes, 0.14 ,102.92,11.29973224,667,4740,credit_card,,
Yes, 0.08 ,125.13,11.90496755,727,50807,credit_card,,
No, 0.15 ,194.02,10.71441777,667,3839,debt_consolidation,,
No, 0.11 ,131.22,11.00209984,722,24220,all_other,,
Yes, 0.11 ,87.19,11.40756495,682,69909,home_improvement,,
Yes, 0.12 ,84.12,10.20359214,707,5630,debt_consolidation,,
Yes, 0.13 ,360.43,10.4341158,677,13846,debt_consolidation,,
Yes, 0.13 ,253.58,11.83500896,662,5122,debt_consolidation,,
Yes, 0.09 ,316.11,10.93310697,767,6068,debt_consolidation,,
Yes, 0.07 ,92.82,11.51292546,747,3021,small_business,,
Yes, 0.09 ,209.54,9.487972109,727,6282,debt_consolidation,,
Yes, 0.11 ,327.53,10.73891524,702,5394,major_purchase,,
Yes, 0.13 ,77.69,10.52277288,672,2211,all_other,,
Yes, 0.09 ,476.58,11.60823564,797,7586,credit_card,,
Yes, 0.10 ,584.12,10.49127422,712,8311,debt_consolidation,,
Yes, 0.15 ,173.65,11.00209984,667,591,major_purchase,,
Yes, 0.08 ,188.02,11.22524339,772,29797,all_other,,
Yes, 0.09 ,474.42,10.81977828,797,5656,all_other,,
Yes, 0.14 ,339.6,11.51292546,662,21162,credit_card,,
Yes, 0.08 ,484.85,11.73606902,782,16931,credit_card,,
Yes, 0.12 ,320.19,11.26446411,672,4822,debt_consolidation,,
Yes, 0.09 ,159.03,12.4292162,712,14354,all_other,,
Yes, 0.07 ,155.38,11.08214255,802,1576,all_other,,
Yes, 0.14 ,255.43,9.998797732,662,4175,debt_consolidation,,
Yes, 0.07 ,155.38,12.20607265,772,3164,all_other,,
Yes, 0.07 ,155.38,12.20607265,812,85607,all_other,,
Yes, 0.08 ,156.84,11.51292546,742,9698,debt_consolidation,,
Yes, 0.10 ,275.38,9.798127037,692,8847,credit_card,,
Yes, 0.07 ,155.38,11.91839057,777,6053,home_improvement,,
Yes, 0.08 ,78.42,11.60823564,762,7274,home_improvement,,
Yes, 0.09 ,158.3,11.22524339,757,66033,credit_card,,
Yes, 0.07 ,155.38,11.46163217,772,3660,all_other,,
Yes, 0.07 ,155.38,11.35040654,787,216,credit_card,,
Yes, 0.11 ,164.23,11.28978191,672,27185,credit_card,,
Yes, 0.10 ,161.25,10.77895629,707,28329,debt_consolidation,,
Yes, 0.09 ,159.77,12.10071213,717,60568,home_improvement,,
Yes, 0.08 ,156.84,12.10071213,742,40934,home_improvement,,
Yes, 0.07 ,155.38,11.69524702,777,8379,debt_consolidation,,
Yes, 0.09 ,94.98,10.1266311,752,3660,small_business,,
Yes, 0.10 ,97.2,12.20607265,677,0,home_improvement,,
Yes, 0.11 ,164.23,10.30895266,702,15840,credit_card,,
Yes, 0.08 ,167.02,11.21182037,797,6844,credit_card,,
Yes, 0.08 ,168.6,8.987196821,762,1321,educational,,
Yes, 0.08 ,160.72,10.37349118,772,4737,all_other,,
Yes, 0.09 ,159.03,11.19821472,722,23489,credit_card,,
Yes, 0.07 ,178.69,11.73606902,792,2817,debt_consolidation,,
Yes, 0.07 ,155.38,10.71441777,782,1783,credit_card,,
Yes, 0.10 ,323.98,10.217422,712,3534,small_business,,
Yes, 0.11 ,813.65,10.77895629,762,2422,small_business,,
Yes, 0.10 ,112.87,9.510444964,712,2864,educational,,
Yes, 0.16 ,94.88,10.86283777,627,3075,debt_consolidation,,
Yes, 0.11 ,398.69,11.00209984,747,17214,small_business,,
Yes, 0.12 ,39.6,9.903487553,662,1153,credit_card,,
No, 0.13 ,678.08,11.88448902,682,41674,credit_card,,
Yes, 0.12 ,401.37,11.22524339,682,43039,credit_card,,
Yes, 0.10 ,205.45,11.00209984,712,3362,all_other,,
Yes, 0.12 ,397.75,11.08214255,682,11868,debt_consolidation,,
Yes, 0.07 ,155.38,10.59663473,772,2562,all_other,,
Yes, 0.10 ,113.39,9.903487553,682,1882,all_other,,
Yes, 0.12 ,99.44,10.49551521,667,1064,debt_consolidation,,
Yes, 0.08 ,109.79,11.49272276,752,6432,credit_card,,
No, 0.11 ,32.55,10.43382164,687,4485,all_other,,
Yes, 0.10 ,112.87,11.26446411,702,16310,all_other,,
Yes, 0.10 ,160.51,11.77528973,712,20969,debt_consolidation,,
Yes, 0.14 ,340.57,10.46310334,707,22213,debt_consolidation,,
Yes, 0.08 ,156.11,12.32385568,752,2160,home_improvement,,
Yes, 0.07 ,155.38,11.15625052,812,813,credit_card,,
Yes, 0.08 ,235.25,11.91839057,757,23678,home_improvement,,
Yes, 0.10 ,257.99,10.77895629,722,11289,debt_consolidation,,
No, 0.15 ,225.37,12.26904744,677,56411,small_business,,
No, 0.10 ,80.26,11.22524339,772,269,home_improvement,,
No, 0.13 ,84,10.37349118,682,3408,home_improvement,,
No, 0.11 ,507.46,10.59663473,712,6513,debt_consolidation,,
Yes, 0.07 ,124.31,10.59663473,772,330,educational,,
Yes, 0.09 ,63.32,11.15625052,712,5967,credit_card,,
Yes, 0.11 ,130.79,9.798127037,707,5533,all_other,,
Yes, 0.08 ,93.67,11.73606902,762,21050,home_improvement,,
Yes, 0.08 ,93.67,10.81977828,762,21050,all_other,,
Yes, 0.09 ,88.65,11.69524702,742,8155,all_other,,
Yes, 0.10 ,128.41,11.51292546,722,8155,all_other,,
Yes, 0.09 ,94.98,11.03488966,737,3678,home_improvement,,
Yes, 0.12 ,179.8,10.46310334,662,2040,debt_consolidation,,
Yes, 0.15 ,444.05,11.00209984,667,33074,credit_card,,
Yes, 0.08 ,124.89,11.03165864,747,1918,all_other,,
Yes, 0.15 ,644.3,11.40756495,662,22379,credit_card,,
No, 0.10 ,642.02,11.47210347,737,10296,small_business,,
No, 0.12 ,104.76,9.61580548,672,2867,small_business,,
Yes, 0.11 ,157.66,10.30895266,682,12310,debt_consolidation,,
Yes, 0.09 ,383.87,11.91839057,767,61921,debt_consolidation,,
Yes, 0.11 ,217.6,11.38509209,702,16738,credit_card,,
Yes, 0.08 ,297.99,11.05089001,792,40384,all_other,,
Yes, 0.08 ,156.11,10.71441777,762,1359,debt_consolidation,,
Yes, 0.12 ,329.95,12.32385568,727,107501,debt_consolidation,,
Yes, 0.08 ,313.67,12.06104687,787,3054,all_other,,
Yes, 0.08 ,297.99,11.40756495,792,40384,all_other,,
Yes, 0.09 ,239.65,11.44035477,792,128000,home_improvement,,
Yes, 0.07 ,61.87,11.6784399,772,4709,debt_consolidation,,
Yes, 0.12 ,94.47,10.71441777,667,2850,all_other,,
No, 0.15 ,73.68,11.47210347,702,51,small_business,,
Yes, 0.08 ,313.67,11.91839057,792,37152,home_improvement,,
Yes, 0.09 ,543.2,11.22524339,762,3839,debt_consolidation,,
Yes, 0.08 ,313.67,11.35040654,797,37152,home_improvement,,
No, 0.12 ,266.37,11.15625052,672,26283,credit_card,,
Yes, 0.10 ,210.6,10.71441777,692,5607,debt_consolidation,,
Yes, 0.12 ,234.15,10.04324949,662,1061,all_other,,
Yes, 0.10 ,323.99,11.69524702,722,56740,debt_consolidation,,
Yes, 0.11 ,235.96,10.95080655,712,40598,credit_card,,
Yes, 0.14 ,352.22,11.1844214,687,3815,debt_consolidation,,
Yes, 0.07 ,117.31,11.69524702,772,0,all_other,,
Yes, 0.07 ,64.96,11.60823564,812,50,debt_consolidation,,
Yes, 0.16 ,699.69,11.42954386,667,4569,small_business,,
Yes, 0.11 ,195.27,9.852194258,692,8528,educational,,
Yes, 0.11 ,295.59,10.3859137,747,14345,credit_card,,
Yes, 0.11 ,217.59,10.81977828,707,113,small_business,,
No, 0.14 ,263.09,11.03811028,677,12231,debt_consolidation,,
Yes, 0.15 ,248.43,10.95080655,667,13552,debt_consolidation,,
Yes, 0.10 ,194.4,11.37710574,692,16813,credit_card,,
No, 0.12 ,301.04,10.57131693,667,26233,debt_consolidation,,
Yes, 0.07 ,163.92,11.35040654,782,5760,all_other,,
No, 0.10 ,150.66,10.727663,687,105,all_other,,
Yes, 0.11 ,217.59,10.9525594,682,11490,debt_consolidation,,
Yes, 0.13 ,85.23,10.59663473,692,17641,home_improvement,,
Yes, 0.11 ,328.43,10.30895266,742,0,all_other,,
Yes, 0.08 ,165.47,10.91508846,797,12430,all_other,,
Yes, 0.11 ,140.6,10.49127422,707,12323,debt_consolidation,,
Yes, 0.10 ,98.01,11.40756495,697,38624,all_other,,
No, 0.12 ,166.48,9.210340372,662,875,small_business,,
Yes, 0.12 ,284.32,11.35040654,667,1196,small_business,,
Yes, 0.14 ,194.15,13.08154138,697,26628,small_business,,
Yes, 0.10 ,138.51,10.34174248,767,6752,all_other,,
No, 0.12 ,70.25,9.433483923,662,458,debt_consolidation,,
Yes, 0.08 ,252.1,11.56171563,752,16786,credit_card,,
Yes, 0.09 ,263.19,11.69524702,742,7336,all_other,,
Yes, 0.09 ,104.65,11.03488966,702,7089,all_other,,
Yes, 0.08 ,172.53,10.89673933,742,18388,debt_consolidation,,
Yes, 0.10 ,38.7,10.37349118,677,613,credit_card,,
No, 0.12 ,100.35,10.2791805,662,566,educational,,
Yes, 0.13 ,335.98,10.50232405,682,9166,debt_consolidation,,
No, 0.11 ,163.49,10.57131693,707,5406,all_other,,
No, 0.10 ,32.25,10.46310334,687,1188,all_other,,
Yes, 0.10 ,96.75,9.798127037,707,12003,educational,,
No, 0.11 ,72.42,11.00209984,707,20511,all_other,,
Yes, 0.10 ,90.68,11.15625052,732,55720,small_business,,
Yes, 0.08 ,259.58,10.79957558,772,7744,all_other,,
Yes, 0.10 ,169.32,11.15625052,737,51761,all_other,,
Yes, 0.12 ,205.4,10.71441777,717,579,credit_card,,
No, 0.13 ,162.01,11.35040654,707,34776,debt_consolidation,,
Yes, 0.10 ,226.8,10.92233487,692,8047,debt_consolidation,,
